Accession,Organism_Name,Species,MPXV_Lineage,Clade,Isolate,Geo_Location,Host,Date,Release_Date,Latitude,Longitude
PP853033.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.5,IIb,TRM339,Nigeria:Bayelsa,Homo sapiens,2022-09-28,7/9/2024,4.7629786,6.028898
PP853034.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.2,IIb,TRM340,Nigeria:Lagos,Homo sapiens,2022-09-29,7/9/2024,6.4550575,3.3941795
PP853036.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.3,IIb,TRM342,Nigeria:Anambra,Homo sapiens,2022-10-14,7/9/2024,6.2183136,6.9531842
PP853037.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2,IIb,TRM343,Nigeria:Kaduna,Homo sapiens,2022-10-26,7/9/2024,10.5182899,7.4359863
PP853038.1,Monkeypox virus,Orthopoxvirus monkeypox,A.3,IIb,TRM344,Nigeria:Edo,Homo sapiens,2022-10-26,7/9/2024,6.6076575,5.9722713
PP853039.2,Monkeypox virus,Orthopoxvirus monkeypox,A.2.5,IIb,TRM346,Nigeria:Lagos,Homo sapiens,2022-09-20,7/9/2024,6.4550575,3.3941795
PP853040.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.5,IIb,TRM347,Nigeria:Delta,Homo sapiens,2022-08-30,7/9/2024,5.5273061,6.1784167
PP853041.2,Monkeypox virus,Orthopoxvirus monkeypox,A.2.3,IIb,TRM349,Nigeria:Anambra,Homo sapiens,2022-09-27,7/9/2024,6.2183136,6.9531842
PP853042.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.2,IIb,TRM350,Nigeria:Lagos,Homo sapiens,2022-09-30,7/9/2024,6.4550575,3.3941795
PP853043.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.5,IIb,TRM351,Nigeria:Rivers,Homo sapiens,2022-10-12,7/9/2024,4.8416028,6.8604088
PP853045.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2,IIb,TRM353,Nigeria:Plateau,Homo sapiens,2022-10-24,7/9/2024,9.0583446,9.6826289
PP853046.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.3,IIb,TRM354,Nigeria:Imo,Homo sapiens,2022-10-17,7/9/2024,5.5859456,7.0669651
PP853047.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.3,IIb,TRM355,Nigeria:Lagos,Homo sapiens,2022-09-13,7/9/2024,6.4550575,3.3941795
PP853048.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.3,IIb,TRM357,Nigeria:Plateau,Homo sapiens,2022-09-12,7/9/2024,9.0583446,9.6826289
PP853049.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.3,IIb,TRM358,Nigeria:Lagos,Homo sapiens,2022-09-23,7/9/2024,6.4550575,3.3941795
PP853050.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.3,IIb,TRM359,Nigeria:Anambra,Homo sapiens,2022-09-27,7/9/2024,6.2183136,6.9531842
PP853051.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.3,IIb,TRM360,Nigeria:Kaduna,Homo sapiens,2022-09-17,7/9/2024,10.5182899,7.4359863
PP853052.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.2,IIb,TRM362,Nigeria:Rivers,Homo sapiens,2022-10-14,7/9/2024,4.8416028,6.8604088
PP853053.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.5,IIb,TRM363,Nigeria:Bayelsa,Homo sapiens,2022-10-13,7/9/2024,4.7629786,6.028898
PP853054.1,Monkeypox virus,Orthopoxvirus monkeypox,A.3,IIb,TRM365,Nigeria:Ogun,Homo sapiens,2022-09-14,7/9/2024,6.9788582,3.4389293
PP853055.2,Monkeypox virus,Orthopoxvirus monkeypox,A.2.3,IIb,TRM367,Nigeria:Anambra,Homo sapiens,2022-09-14,7/9/2024,6.2183136,6.9531842
PP970527.1,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,WA-UW-429625,USA: Washington,Homo sapiens,2024-05-28,7/7/2024,38.8950368,-77.0365427
PP970528.1,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,WA-UW-490338,USA: Washington,Homo sapiens,2024-05-30,7/7/2024,38.8950368,-77.0365427
PP002088.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3,IIb,CHVir44025_Sep2023,Germany,Homo sapiens,1905-07-15,7/1/2024,51.1638175,10.4478313
PP002089.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.22,IIb,CHVir44010_Sep2023,Germany,Homo sapiens,1905-07-15,7/1/2024,51.1638175,10.4478313
PP002090.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.22,IIb,CHVir44300_Okt2023,Germany,Homo sapiens,1905-07-15,7/1/2024,51.1638175,10.4478313
PP002091.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.22,IIb,CHVir44557_Okt2023,Germany,Homo sapiens,1905-07-15,7/1/2024,51.1638175,10.4478313
PP002092.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.22,IIb,CHVir44632_Nov2023,Germany,Homo sapiens,1905-07-15,7/1/2024,51.1638175,10.4478313
PP002093.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/AR-ANLIS038/2022,Argentina,Homo sapiens,2022-07-13,7/1/2024,-34.9964963,-64.9672817
PP057709.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.3,IIb,MPXV/AR-ANLIS008/2022,Argentina,Homo sapiens,2022-06-08,7/1/2024,-34.9964963,-64.9672817
PP057710.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV/AR-ANLIS037/2022,Argentina,Homo sapiens,2022-07-12,7/1/2024,-34.9964963,-64.9672817
PP936028.2,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00630/2024,USA,Homo sapiens,2024-05-29,6/26/2024,39.7837304,-100.445882
PP936029.2,Monkeypox virus,Orthopoxvirus monkeypox,J.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00631/2024,USA,Homo sapiens,2024-05-28,6/26/2024,39.7837304,-100.445882
PP936030.2,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00632/2024,USA,Homo sapiens,2024-05-30,6/26/2024,39.7837304,-100.445882
PP936031.2,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00633/2024,USA,Homo sapiens,2024-05-30,6/26/2024,39.7837304,-100.445882
PP918960.2,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,MPXV/Human/USA/CA-LACPHL-MA00627/2024,USA,Homo sapiens,2024-05-20,6/23/2024,39.7837304,-100.445882
PP918961.2,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00628/2024,USA,Homo sapiens,2024-05-15,6/23/2024,39.7837304,-100.445882
PP918962.2,Monkeypox virus,Orthopoxvirus monkeypox,J.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00626/2024,USA,Homo sapiens,2024-05-17,6/23/2024,39.7837304,-100.445882
PP918963.2,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00629/2024,USA,Homo sapiens,2024-05-28,6/23/2024,39.7837304,-100.445882
PP882804.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1,IIb,MPXV_USA_2024_MA0223,USA: MA,Homo sapiens,1905-07-16,6/11/2024,42.3788774,-72.032366
PP882805.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.22,IIb,MPXV_USA_2024_MA0224,USA: MA,Homo sapiens,1905-07-16,6/11/2024,42.3788774,-72.032366
PP855307.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/CA-CDPH-1M1000340/2023,USA,Homo sapiens,2023-09-18,6/5/2024,39.7837304,-100.445882
PP855308.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,hMpxV/USA/CA-CDPH-1M1000467/2022,USA,Homo sapiens,2022-07-21,6/5/2024,39.7837304,-100.445882
PP835924.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-004-0125/2024,"USA: IL, Chicago",Homo sapiens,2024-01-23,6/2/2024,41.8755616,-87.6244212
PP835925.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,hMpxV/USA/IL-RIPHL-004-0142/2024,"USA: IL, Chicago",Homo sapiens,2024-02-07,6/2/2024,41.8755616,-87.6244212
PP835926.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-004-0156/2024,"USA: IL, Chicago",Homo sapiens,2024-02-28,6/2/2024,41.8755616,-87.6244212
PP835927.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-004-0159/2024,"USA: IL, Chicago",Homo sapiens,2024-03-08,6/2/2024,41.8755616,-87.6244212
PP835928.1,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,hMpxV/USA/IL-RIPHL-004-0160/2024,"USA: IL, Chicago",Homo sapiens,2024-03-07,6/2/2024,41.8755616,-87.6244212
PP835929.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-004-0161/2024,"USA: IL, Chicago",Homo sapiens,2024-03-04,6/2/2024,41.8755616,-87.6244212
PP835930.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-004-0177/2024,"USA: IL, Chicago",Homo sapiens,2024-03-26,6/2/2024,41.8755616,-87.6244212
PP835931.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-050-0178/2024,"USA: IL, Chicago",Homo sapiens,2024-03-25,6/2/2024,41.8755616,-87.6244212
PP828958.2,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,MPXV/Human/USA/CA-LACPHL-MA00623/2024,USA,Homo sapiens,2024-05-01,5/28/2024,39.7837304,-100.445882
PP828959.2,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,MPXV/Human/USA/CA-LACPHL-MA00624/2024,USA,Homo sapiens,2024-04-26,5/28/2024,39.7837304,-100.445882
PP828960.2,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00625/2024,USA,Homo sapiens,2024-04-30,5/28/2024,39.7837304,-100.445882
PP799939.2,Monkeypox virus,Orthopoxvirus monkeypox,J.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00622/2024,USA,Homo sapiens,2024-04-18,5/21/2024,39.7837304,-100.445882
PP758961.1,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,CA-LACPHL-MA00621,USA,Homo sapiens,2024-04-11,5/11/2024,39.7837304,-100.445882
PP754992.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,WA-UW-251694,USA: Washington,Homo sapiens,2024-04-16,5/8/2024,38.8950368,-77.0365427
PP754993.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.23,IIb,WA-UW-288850,USA: Washington,Homo sapiens,2024-04-18,5/8/2024,38.8950368,-77.0365427
PP746595.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.22,IIb,MPXV/USA/2024/MA0222,USA: MA,Homo sapiens,1905-07-16,5/7/2024,42.3788774,-72.032366
OR601602.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,Z22IRL00794,Ireland,Homo sapiens,2022-12-02,5/6/2024,52.865196,-7.9794599
OR601603.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,G23IRL50393,Ireland,Homo sapiens,2023-08-16,5/6/2024,52.865196,-7.9794599
OR601604.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,Z22IRL00908,Ireland,Homo sapiens,2023-08-18,5/6/2024,52.865196,-7.9794599
OR601605.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,Z22IRL00909,Ireland,Homo sapiens,2023-08-31,5/6/2024,52.865196,-7.9794599
OR601606.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,Z22IRL00910,Ireland,Homo sapiens,2023-08-28,5/6/2024,52.865196,-7.9794599
OR966871.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,NVRL-00922,Ireland,Homo sapiens,2023-10-09,5/6/2024,52.865196,-7.9794599
OR966872.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,NVRL-00925,Ireland,Homo sapiens,2023-10-18,5/6/2024,52.865196,-7.9794599
PP736801.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3,IIb,WA-UW-11099,USA: Washington,Homo sapiens,2024-02-01,5/5/2024,38.8950368,-77.0365427
PP734008.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-050-0171/2024,"USA: IL, Chicago",Homo sapiens,2024-03-22,5/4/2024,41.8755616,-87.6244212
PP734009.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-050-0172/2024,"USA: IL, Chicago",Homo sapiens,2024-03-20,5/4/2024,41.8755616,-87.6244212
PP734010.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-050-0173/2024,"USA: IL, Chicago",Homo sapiens,2024-03-16,5/4/2024,41.8755616,-87.6244212
PP734011.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-050-0174/2024,"USA: IL, Chicago",Homo sapiens,2024-03-16,5/4/2024,41.8755616,-87.6244212
PP734012.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-050-0175/2024,"USA: IL, Chicago",Homo sapiens,2024-03-15,5/4/2024,41.8755616,-87.6244212
PP734013.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-050-0176/2024,"USA: IL, Chicago",Homo sapiens,2024-03-15,5/4/2024,41.8755616,-87.6244212
PP701814.1,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00619/2024,USA,Homo sapiens,2024-03-06,4/27/2024,39.7837304,-100.445882
PP701815.1,Monkeypox virus,Orthopoxvirus monkeypox,J.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00620/2024,USA,Homo sapiens,2024-02-26,4/27/2024,39.7837304,-100.445882
PP631919.1,Monkeypox virus,Orthopoxvirus monkeypox,F.5,IIb,MPXV_USA_2024_MA0220,USA: MA,Homo sapiens,1905-07-16,4/17/2024,42.3788774,-72.032366
PP631920.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1,IIb,MPXV_USA_2024_MA0221,USA: MA,Homo sapiens,1905-07-16,4/17/2024,42.3788774,-72.032366
PP648202.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_GZ_M23008/2023,China,Homo sapiens,2023-06-08,4/17/2024,35.000074,104.999927
PP648203.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_GZ_M23011/2023,China,Homo sapiens,2023-06-07,4/17/2024,35.000074,104.999927
PP648204.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_GZ_M23016/2023,China,Homo sapiens,2023-06-11,4/17/2024,35.000074,104.999927
PP648205.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_GZ_M23021/2023,China,Homo sapiens,2023-06-11,4/17/2024,35.000074,104.999927
PP648206.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_SZ_M23022/2023,China,Homo sapiens,2023-06-10,4/17/2024,35.000074,104.999927
PP648207.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_SZ_M23024/2023,China,Homo sapiens,2023-06-11,4/17/2024,35.000074,104.999927
PP648208.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_SZ_M23026/2023,China,Homo sapiens,2023-06-12,4/17/2024,35.000074,104.999927
PP648209.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_FS_M23028/2023,China,Homo sapiens,2023-06-13,4/17/2024,35.000074,104.999927
PP648210.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_GZ_M23050/2023,China,Homo sapiens,2023-06-16,4/17/2024,35.000074,104.999927
PP648211.1,Monkeypox virus,Orthopoxvirus monkeypox,C.1.1,IIb,MPXV/human/CHN/GDCDC_FS_M23108/2023,China,Homo sapiens,2023-06-22,4/17/2024,35.000074,104.999927
PP601239.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3,IIb,MpxV/human/USA/CA-UW-301960/2024,USA: California,Homo sapiens,2024-02-14,4/15/2024,36.7014631,-118.755997
PP588401.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-050-0155/2024,"USA: IL, Chicago",Homo sapiens,2024-02-29,4/10/2024,41.8755616,-87.6244212
PP588402.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0157/2024,"USA: IL, Chicago",Homo sapiens,2024-02-23,4/10/2024,41.8755616,-87.6244212
PP588403.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0158/2024,"USA: IL, Chicago",Homo sapiens,2024-02-19,4/10/2024,41.8755616,-87.6244212
PP588404.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-050-0162/2024,"USA: IL, Chicago",Homo sapiens,2024-03-06,4/10/2024,41.8755616,-87.6244212
PP588405.1,Monkeypox virus,Orthopoxvirus monkeypox,F.6,IIb,hMpxV/USA/IL-RIPHL-050-0163/2024,"USA: IL, Chicago",Homo sapiens,2024-03-04,4/10/2024,41.8755616,-87.6244212
PP588406.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0164/2024,"USA: IL, Chicago",Homo sapiens,2024-03-01,4/10/2024,41.8755616,-87.6244212
PP588407.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0165/2024,"USA: IL, Chicago",Homo sapiens,2024-03-01,4/10/2024,41.8755616,-87.6244212
PP588408.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,hMpxV/USA/IL-RIPHL-050-0170/2024,"USA: IL, Chicago",Homo sapiens,2024-03-09,4/10/2024,41.8755616,-87.6244212
PP556300.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0108/2023,"USA: IL, Chicago",Homo sapiens,2023-09-10,4/6/2024,41.8755616,-87.6244212
PP556301.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0109/2023,"USA: IL, Chicago",Homo sapiens,2023-09-19,4/6/2024,41.8755616,-87.6244212
PP556302.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.21,IIb,hMpxV/USA/IL-RIPHL-050-0110/2023,"USA: IL, Chicago",Homo sapiens,2023-09-27,4/6/2024,41.8755616,-87.6244212
PP556303.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0111/2023,"USA: IL, Chicago",Homo sapiens,2023-10-03,4/6/2024,41.8755616,-87.6244212
PP556304.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0112/2023,"USA: IL, Chicago",Homo sapiens,2023-10-04,4/6/2024,41.8755616,-87.6244212
PP556305.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0113/2023,"USA: IL, Chicago",Homo sapiens,2023-10-09,4/6/2024,41.8755616,-87.6244212
PP556306.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0114/2023,"USA: IL, Chicago",Homo sapiens,2023-10-13,4/6/2024,41.8755616,-87.6244212
PP556307.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0115/2023,"USA: IL, Chicago",Homo sapiens,2023-10-13,4/6/2024,41.8755616,-87.6244212
PP556308.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.21,IIb,hMpxV/USA/IL-RIPHL-050-0116/2023,"USA: IL, Chicago",Homo sapiens,2023-10-16,4/6/2024,41.8755616,-87.6244212
PP556309.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0117/2023,"USA: IL, Chicago",Homo sapiens,2023-10-27,4/6/2024,41.8755616,-87.6244212
PP556310.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0124/2024,"USA: IL, Chicago",Homo sapiens,2024-01-19,4/6/2024,41.8755616,-87.6244212
PP556311.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0126/2024,"USA: IL, Chicago",Homo sapiens,2024-01-25,4/6/2024,41.8755616,-87.6244212
PP556312.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0127/2024,"USA: IL, Chicago",Homo sapiens,2024-01-26,4/6/2024,41.8755616,-87.6244212
PP556313.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0128/2024,"USA: IL, Chicago",Homo sapiens,2024-01-27,4/6/2024,41.8755616,-87.6244212
PP556314.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0131/2024,"USA: IL, Chicago",Homo sapiens,2024-01-29,4/6/2024,41.8755616,-87.6244212
PP556315.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0132/2024,"USA: IL, Chicago",Homo sapiens,2024-01-31,4/6/2024,41.8755616,-87.6244212
PP556316.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0133/2023,"USA: IL, Chicago",Homo sapiens,2023-10-31,4/6/2024,41.8755616,-87.6244212
PP556317.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0134/2023,"USA: IL, Chicago",Homo sapiens,2023-10-31,4/6/2024,41.8755616,-87.6244212
PP556318.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0135/2023,"USA: IL, Chicago",Homo sapiens,2023-11-07,4/6/2024,41.8755616,-87.6244212
PP556319.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,hMpxV/USA/IL-RIPHL-050-0136/2023,"USA: IL, Chicago",Homo sapiens,2023-11-10,4/6/2024,41.8755616,-87.6244212
PP556320.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0138/2024,"USA: IL, Chicago",Homo sapiens,2024-02-10,4/6/2024,41.8755616,-87.6244212
PP556321.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0139/2024,"USA: IL, Chicago",Homo sapiens,2024-02-09,4/6/2024,41.8755616,-87.6244212
PP556322.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0140/2024,"USA: IL, Chicago",Homo sapiens,2024-02-08,4/6/2024,41.8755616,-87.6244212
PP556323.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,hMpxV/USA/IL-RIPHL-050-0145/2024,"USA: IL, Chicago",Homo sapiens,2024-02-05,4/6/2024,41.8755616,-87.6244212
PP556324.1,Monkeypox virus,Orthopoxvirus monkeypox,E.2,IIb,hMpxV/USA/IL-RIPHL-050-0147/2024,"USA: IL, Chicago",Homo sapiens,2024-02-02,4/6/2024,41.8755616,-87.6244212
PP556325.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-050-0148/2024,"USA: IL, Chicago",Homo sapiens,2024-02-02,4/6/2024,41.8755616,-87.6244212
PP556326.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,hMpxV/USA/IL-RIPHL-050-0153/2024,"USA: IL, Chicago",Homo sapiens,2024-02-19,4/6/2024,41.8755616,-87.6244212
PP556327.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-050-0154/2024,"USA: IL, Chicago",Homo sapiens,2024-02-13,4/6/2024,41.8755616,-87.6244212
PP507063.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3,IIb,MPXV/Human/USA/CA-LACPHL-MA00586/2023,USA,Homo sapiens,2023-09-04,3/26/2024,39.7837304,-100.445882
PP507064.1,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00597/2023,USA,Homo sapiens,2023-10-26,3/26/2024,39.7837304,-100.445882
PP507065.1,Monkeypox virus,Orthopoxvirus monkeypox,F.1,IIb,MPXV/Human/USA/CA-LACPHL-MA00598/2023,USA,Homo sapiens,2023-10-26,3/26/2024,39.7837304,-100.445882
PP507066.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,MPXV/Human/USA/CA-LACPHL-MA00599/2023,USA,Homo sapiens,2023-10-25,3/26/2024,39.7837304,-100.445882
PP507067.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.21,IIb,MPXV/Human/USA/CA-LACPHL-MA00600/2023,USA,Homo sapiens,2023-10-23,3/26/2024,39.7837304,-100.445882
PP507068.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,MPXV/Human/USA/CA-LACPHL-MA00601/2023,USA,Homo sapiens,2023-10-23,3/26/2024,39.7837304,-100.445882
PP507069.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.21,IIb,MPXV/Human/USA/CA-LACPHL-MA00607/2023,USA,Homo sapiens,2023-11-16,3/26/2024,39.7837304,-100.445882
PP507070.1,Monkeypox virus,Orthopoxvirus monkeypox,F.3,IIb,MPXV/Human/USA/CA-LACPHL-MA00608/2023,USA,Homo sapiens,2023-11-20,3/26/2024,39.7837304,-100.445882
PP507071.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV/Human/USA/CA-LACPHL-MA00613/2023,USA,Homo sapiens,2023-12-07,3/26/2024,39.7837304,-100.445882
PP507072.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,MPXV/Human/USA/CA-LACPHL-MA00616/2024,USA,Homo sapiens,2024-02-12,3/26/2024,39.7837304,-100.445882
PP507073.1,Monkeypox virus,Orthopoxvirus monkeypox,F.6,IIb,MPXV/Human/USA/CA-LACPHL-MA00587/2023,USA,Homo sapiens,2023-10-01,3/26/2024,39.7837304,-100.445882
