Accession,Organism_Name,Species,MPXV_Lineage,Clade,Isolate,Geo_Location,Host,Collection_Date,Release_Date
OZ254631.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4673V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/24/2024,4/30/2025
OZ254632.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4195V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/9/2024,4/30/2025
OZ254633.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4472V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/15/2024,4/30/2025
OZ254634.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4123V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/6/2024,4/30/2025
OZ254635.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4890V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/31/2024,4/30/2025
OZ254636.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4204V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/10/2024,4/30/2025
OZ254637.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4046V,Democratic Republic of the Congo:Equateur,Homo sapiens,9/13/2024,4/30/2025
OZ254638.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4952C,Democratic Republic of the Congo:Tshuapa,Homo sapiens,10/18/2024,4/30/2025
OZ254639.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5189V,Democratic Republic of the Congo:Bas-Uele,Homo sapiens,9/22/2024,4/30/2025
OZ254640.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4676V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/24/2024,4/30/2025
OZ254641.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5087V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/4/2024,4/30/2025
OZ254642.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4729V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/28/2024,4/30/2025
OZ254643.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4778V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/26/2024,4/30/2025
OZ254644.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5058V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/4/2024,4/30/2025
OZ254645.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4049V,Democratic Republic of the Congo:Equateur,Homo sapiens,9/15/2024,4/30/2025
OZ254646.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4968C,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/31/2024,4/30/2025
OZ254647.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4594V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/18/2024,4/30/2025
OZ254648.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4121C,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/6/2024,4/30/2025
OZ254649.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4402V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/15/2024,4/30/2025
OZ254650.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4703V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/27/2024,4/30/2025
OZ254651.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4750C,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/25/2024,4/30/2025
OZ254652.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4600V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/22/2024,4/30/2025
OZ254653.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4985C,Democratic Republic of the Congo:Tshuapa,Homo sapiens,10/18/2024,4/30/2025
OZ254654.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4598V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/22/2024,4/30/2025
OZ254655.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4589V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/22/2024,4/30/2025
OZ254656.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4855V,Democratic Republic of the Congo:Sankuru,Homo sapiens,10/9/2024,4/30/2025
OZ254657.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4124V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/6/2024,4/30/2025
OZ254658.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5130V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/5/2024,4/30/2025
OZ254659.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4810V,Democratic Republic of the Congo:Sankuru,Homo sapiens,9/19/2024,4/30/2025
OZ254660.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4957V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/1/2024,4/30/2025
OZ254661.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4498V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/14/2024,4/30/2025
OZ254662.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4828V,Democratic Republic of the Congo:Sankuru,Homo sapiens,10/5/2024,4/30/2025
OZ254663.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5240V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/7/2024,4/30/2025
OZ254664.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5216C,Democratic Republic of the Congo:Bas-Uele,Homo sapiens,10/2/2024,4/30/2025
OZ254665.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,RDC-NKV-GOM-MPX-344,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/16/2024,4/30/2025
OZ254666.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4591V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/22/2024,4/30/2025
OZ254667.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4825V,Democratic Republic of the Congo:Sankuru,Homo sapiens,10/6/2024,4/30/2025
OZ254668.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5231V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/6/2024,4/30/2025
OZ254669.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4747V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/27/2024,4/30/2025
OZ254670.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4459V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/16/2024,4/30/2025
OZ254671.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4560V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/21/2024,4/30/2025
OZ254672.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4667V,Democratic Republic of the Congo:Sud-Ubangi,Homo sapiens,10/13/2024,4/30/2025
OZ254673.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4860V,Democratic Republic of the Congo:Sankuru,Homo sapiens,10/17/2024,4/30/2025
OZ254674.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5077V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/4/2024,4/30/2025
OZ254675.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4122C,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/6/2024,4/30/2025
OZ254676.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX5079V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/4/2024,4/30/2025
OZ254677.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5101V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/4/2024,4/30/2025
OZ254678.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4562V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/21/2024,4/30/2025
OZ254679.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4774V,Democratic Republic of the Congo:Sankuru,Homo sapiens,9/9/2024,4/30/2025
OZ254680.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4780V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/27/2024,4/30/2025
OZ254681.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4128V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/5/2024,4/30/2025
OZ254682.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4561V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/21/2024,4/30/2025
OZ254683.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4145V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/7/2024,4/30/2025
OZ254684.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4972V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/29/2024,4/30/2025
OZ254685.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX5171V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/5/2024,4/30/2025
OZ254686.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4139V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/7/2024,4/30/2025
OZ254687.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5143V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/1/2024,4/30/2025
OZ254688.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5157V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/6/2024,4/30/2025
OZ254689.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-273_ont,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,6/24/2024,4/30/2025
OZ254690.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,RDC-NKV-GOM-MPX-365,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/19/2024,4/30/2025
OZ254691.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4076V,Democratic Republic of the Congo:Equateur,Homo sapiens,9/5/2024,4/30/2025
OZ254692.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0432C|Ibanda|ont|2024-05-07,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,5/7/2024,4/30/2025
OZ254693.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0591Ab|Kamituga|ont|2024-05-02,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,5/2/2024,4/30/2025
OZ254694.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0255S|Ibanda|ilm|2024-04-01,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/1/2024,4/30/2025
OZ254695.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0312P|Kamituga|ilm|2024-04-XX,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/30/2024,4/30/2025
OZ254696.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,RDC-NKV-GOM-MPX-381,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/20/2024,4/30/2025
OZ254697.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0512C|Bunyakiru|ont|2024-05-XX,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,5/14/2024,4/30/2025
OZ254698.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0301C|Kamituga|ilm|2024-04-XX,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/30/2024,4/30/2025
OZ254699.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4057V,Democratic Republic of the Congo:Equateur,Homo sapiens,9/19/2024,4/30/2025
OZ254700.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5215V,Democratic Republic of the Congo:Bas-Uele,Homo sapiens,10/22/2024,4/30/2025
OZ254701.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0475Or|Kamituga|ont|2024-05-11,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,5/11/2024,4/30/2025
OZ254702.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-274_ont,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,6/25/2024,4/30/2025
OZ254703.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0758Or|Uvira|ont|2024-06-07,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,6/7/2024,4/30/2025
OZ254704.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5214V,Democratic Republic of the Congo:Bas-Uele,Homo sapiens,10/21/2024,4/30/2025
OZ254705.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX5245V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/7/2024,4/30/2025
OZ254706.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0262C|Bagira|ilm|2024-04-13,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/13/2024,4/30/2025
OZ254707.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5301V,Democratic Republic of the Congo:Kasai,Homo sapiens,11/6/2024,4/30/2025
OZ254708.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0270S|Kadutu|ilm|2024-04-14,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/14/2024,4/30/2025
OZ254709.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0564C|Nyangezi|ont|2024-04-21,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/21/2024,4/30/2025
OZ254710.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,RDC-NKV-GOM-MPX-338,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/15/2024,4/30/2025
OZ254711.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4198V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/9/2024,4/30/2025
OZ254712.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0286C|Nyantende|ilm|2024-04-09,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/9/2024,4/30/2025
OZ254713.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4255V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/12/2024,4/30/2025
OZ254714.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4246V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/12/2024,4/30/2025
OZ254715.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-36_S2_ilm,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,7/27/2024,4/30/2025
OZ254716.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5258V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/6/2024,4/30/2025
OZ254717.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,nkv-mpx0130C|Goma|ont|2024-07-08,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,7/8/2024,4/30/2025
OZ254718.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4185V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/9/2024,4/30/2025
OZ254719.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4367C,Democratic Republic of the Congo:Tshopo,Homo sapiens,9/29/2024,4/30/2025
OZ254720.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4184V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/9/2024,4/30/2025
OZ254721.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4235V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/11/2024,4/30/2025
OZ254722.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4436V,Democratic Republic of the Congo:Kongo-central,Homo sapiens,10/4/2024,4/30/2025
OZ254723.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4251V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/12/2024,4/30/2025
OZ254724.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4242V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/4/2024,4/30/2025
OZ254725.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-256_ont,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,6/24/2024,4/30/2025
OZ254726.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-35_S1_ilm,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,7/27/2024,4/30/2025
OZ254727.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4232V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/10/2024,4/30/2025
OZ254728.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0794C|Ibanda|ont|2024-06-09,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,6/9/2024,4/30/2025
OZ254729.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4209V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/10/2024,4/30/2025
OZ254730.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4140V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/7/2024,4/30/2025
OZ254731.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,RDC-NKV-GOM-MPOX102Or|Homo_sapiens|Sud-Kivu|Shabunda|2023-11-17,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,11/17/2023,4/30/2025
OZ254732.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4219V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/10/2024,4/30/2025
OZ254733.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-223_ont,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,6/15/2024,4/30/2025
OZ254734.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5254V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/7/2024,4/30/2025
OZ254735.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX5259V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/7/2024,4/30/2025
OZ254736.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4118C,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/6/2024,4/30/2025
OZ254737.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4063V,Democratic Republic of the Congo:Equateur,Homo sapiens,8/23/2024,4/30/2025
OZ254738.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4064V,Democratic Republic of the Congo:Equateur,Homo sapiens,8/24/2024,4/30/2025
OZ254739.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4325V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/13/2024,4/30/2025
OZ254740.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4202V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/9/2024,4/30/2025
OZ254741.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-63_S7_ilm,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/6/2024,4/30/2025
OZ254742.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx922|Nyangezi|ont|2024-06-05,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,6/5/2024,4/30/2025
OZ254743.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-45_S5_ilm,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/6/2024,4/30/2025
OZ254744.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5263V,Democratic Republic of the Congo:Kongo-central,Homo sapiens,10/22/2024,4/30/2025
OZ254745.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4403V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/3/2024,4/30/2025
OZ254746.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4194V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/9/2024,4/30/2025
OZ254747.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4382C,Democratic Republic of the Congo:Bas-Uele,Homo sapiens,9/26/2024,4/30/2025
OZ254748.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4186V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/9/2024,4/30/2025
OZ254749.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4054V,Democratic Republic of the Congo:Equateur,Homo sapiens,9/19/2024,4/30/2025
OZ254750.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4056V,Democratic Republic of the Congo:Equateur,Homo sapiens,9/19/2024,4/30/2025
OZ254751.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0804C|Ibanda|ont|2024-06-10,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,6/10/2024,4/30/2025
OZ254752.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4377C,Democratic Republic of the Congo:Bas-Uele,Homo sapiens,9/6/2024,4/30/2025
OZ254753.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4457V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/16/2024,4/30/2025
OZ254754.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4281C,Democratic Republic of the Congo:Sud-Ubangi,Homo sapiens,9/25/2024,4/30/2025
OZ254755.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5249V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/7/2024,4/30/2025
OZ254756.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4401V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/15/2024,4/30/2025
OZ254757.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,RDC-NKV-GOM-MPX-382,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/20/2024,4/30/2025
OZ254758.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5255V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/8/2024,4/30/2025
OZ254759.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-927_ont,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,7/23/2024,4/30/2025
OZ254760.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-38_S3_ilm,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,7/30/2024,4/30/2025
OZ254761.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,RDC-NKV-GOM-MPX-337,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/15/2024,4/30/2025
OZ254762.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4192V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/9/2024,4/30/2025
OZ254763.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,nkv-mpx0110C|Karisimbi|ont|2024-07-04,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,7/4/2024,4/30/2025
OZ254764.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4273V,Democratic Republic of the Congo:Sud-Ubangi,Homo sapiens,9/23/2024,4/30/2025
OZ254765.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4391V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/14/2024,4/30/2025
OZ254766.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0259C|Kadutu|ilm|2024-04-13,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/13/2024,4/30/2025
OZ254767.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4190V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/9/2024,4/30/2025
OZ254768.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4062V,Democratic Republic of the Congo:Equateur,Homo sapiens,9/17/2024,4/30/2025
OZ254769.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx919|Sud-Kivu|ont|2024-06-XX,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,6/5/2024,4/30/2025
OZ254770.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5252V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,11/7/2024,4/30/2025
OZ254771.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx880C|Miti-muresa|ont|2024-06-04,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,6/4/2024,4/30/2025
OZ254772.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPX4143V,Democratic Republic of the Congo:Kinshasa,Homo sapiens,10/7/2024,4/30/2025
OZ254773.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-43_S4_ilm,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/6/2024,4/30/2025
OZ254774.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0780Or|Nyangezi|ont|2024-06-14,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,6/14/2024,4/30/2025
OZ254775.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,24MPXV-GOM-46_S6_ilm,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/6/2024,4/30/2025
OZ254776.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,RDC-NKV-GOM-MPX-352,Democratic Republic of the Congo:Nord-Kivu,Homo sapiens,8/15/2024,4/30/2025
OZ254777.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX5293V,Democratic Republic of the Congo:Kasai,Homo sapiens,10/12/2024,4/30/2025
OZ254778.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ia,24MPX4156V,Democratic Republic of the Congo:Maindombe,Homo sapiens,9/9/2024,4/30/2025
OZ254779.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0290C|Kamituga|ilm|2024-04-12,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/12/2024,4/30/2025
OZ254780.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0289S|Nyantende|ilm|2024-04-09,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,4/9/2024,4/30/2025
OZ254781.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,skv-mpx0813C|Nyatende|ont|2024-06-14,Democratic Republic of the Congo:Sud-Kivu,Homo sapiens,6/14/2024,4/30/2025
